Fecha,Hora,Casa Palacio-Puerto del Rosario O3 (µg/m³),Flag,Casa Palacio-Puerto del Rosario BEN (µg/m³),Flag,Casa Palacio-Puerto del Rosario TOL (µg/m³),Flag,Casa Palacio-Puerto del Rosario m-p XIL (µg/m³),Flag,Casa Palacio-Puerto del Rosario PM10 (µg/m³),Flag
06-12-2011,24:00,93,V,0.3,V,2.1,V,0.8,V,21,V
07-12-2011,24:00,73,V,0.4,V,2.5,V,1,V,72,V
08-12-2011,24:00,64,V,0.3,V,2.1,V,0.7,V,59,V
09-12-2011,24:00,70,V,0.4,V,11.5,V,1,V,38,V
10-12-2011,24:00,81,V,0.3,V,2.5,V,0.9,V,28,V
11-12-2011,24:00,84,V,0.2,V,2.2,V,0.8,V,11,V
12-12-2011,24:00,74,V,0.3,V,2,V,1.1,V,11,V
13-12-2011,24:00,83,V,0.3,V,1.6,V,1.1,V,16,V
14-12-2011,24:00,79,V,0.3,V,1.1,V,0.9,V,12,V
15-12-2011,24:00,81,V,0.3,V,3.4,V,0.8,V,15,V
16-12-2011,24:00,83,V,0.3,V,1.3,V,0.9,V,23,V
17-12-2011,24:00,86,V,0.2,V,1.2,V,0.7,V,18,V
18-12-2011,24:00,78,V,0.2,V,0.8,V,0.5,V,22,V
19-12-2011,24:00,78,V,0.3,V,1,V,0.7,V,14,V
20-12-2011,24:00,75,V,0.4,V,2.5,V,0.9,V,31,V
21-12-2011,24:00,72,V,0.5,V,2.4,V,1.2,V,24,V
22-12-2011,24:00,84,V,0.5,V,2.1,V,0.9,V,21,V
23-12-2011,24:00,84,V,0.5,V,3.7,V,1.4,V,20,V
24-12-2011,24:00,78,V,0.3,V,1.7,V,0.5,V,16,V
