Fecha,Hora,Casa Palacio-Puerto del Rosario NO (µg/m³),Flag,Casa Palacio-Puerto del Rosario NO2 (µg/m³),Flag,Casa Palacio-Puerto del Rosario SO2 (µg/m³),Flag,Casa Palacio-Puerto del Rosario CO (mg/m³),Flag,Casa Palacio-Puerto del Rosario NOX (µg/m³),Flag
03-09-2017,24:00,1,V,7,V,2,V,0.3,V,9,V
04-09-2017,24:00,1,V,12,V,1,V,0.3,V,13,V
05-09-2017,24:00,1,V,8,V,1,V,0.3,V,9,V
06-09-2017,24:00,1,V,8,V,1,V,0.3,V,10,V
07-09-2017,24:00,,N,,N,,N,,N,,N
08-09-2017,24:00,1,V,9,V,1,V,0.3,V,12,V
09-09-2017,24:00,1,V,8,V,1,V,0.3,V,10,V
10-09-2017,24:00,1,V,5,V,1,V,0.3,V,7,V
11-09-2017,24:00,2,V,8,V,1,V,0.3,V,10,V
12-09-2017,24:00,2,V,8,V,1,V,0.3,V,11,V
13-09-2017,24:00,3,V,16,V,2,V,0.3,V,20,V
14-09-2017,24:00,2,V,13,V,1,V,0.3,V,16,V
15-09-2017,24:00,3,V,10,V,1,V,0.2,V,15,V
16-09-2017,24:00,1,V,2,V,1,V,0.2,V,4,V
17-09-2017,24:00,1,V,1,V,1,V,0.2,V,3,V
18-09-2017,24:00,1,V,1,V,1,V,0.2,V,3,V
19-09-2017,24:00,,N,,N,,N,,N,,N
20-09-2017,24:00,1,V,8,V,1,V,0.2,V,10,V
21-09-2017,24:00,1,V,8,V,1,V,0.2,V,10,V
22-09-2017,24:00,2,V,8,V,1,V,0.2,V,11,V
23-09-2017,24:00,2,V,9,V,1,V,0.2,V,11,V
24-09-2017,24:00,2,V,11,V,1,V,0.3,V,14,V
25-09-2017,24:00,15,V,33,V,2,V,0.4,V,56,V
26-09-2017,24:00,2,V,13,V,1,V,0.2,V,16,V
27-09-2017,24:00,6,V,16,V,1,V,0.2,V,25,V
28-09-2017,24:00,3,V,12,V,1,V,0.2,V,17,V
29-09-2017,24:00,2,V,5,V,2,V,0.2,V,8,V
30-09-2017,24:00,1,V,1,V,2,V,0.2,V,3,V
01-10-2017,24:00,1,V,1,V,2,V,0.2,V,3,V
02-10-2017,24:00,2,V,6,V,1,V,0.2,V,9,V
03-10-2017,24:00,4,V,15,V,1,V,0.3,V,21,V
04-10-2017,24:00,1,V,8,V,1,V,0.2,V,10,V
05-10-2017,24:00,4,V,16,V,1,V,0.3,V,21,V
06-10-2017,24:00,5,V,20,V,1,V,0.3,V,28,V
07-10-2017,24:00,6,V,17,V,1,V,0.2,V,27,V
08-10-2017,24:00,2,V,11,V,1,V,0.2,V,13,V
09-10-2017,24:00,2,V,13,V,1,V,0.2,V,17,V
10-10-2017,24:00,3,V,12,V,1,V,0.2,V,16,V
11-10-2017,24:00,2,V,11,V,1,V,0.2,V,14,V
12-10-2017,24:00,,N,,N,,N,,N,,N
13-10-2017,24:00,,N,,N,,N,,N,,N
14-10-2017,24:00,15,V,31,V,3,V,0.2,V,54,V
15-10-2017,24:00,4,V,15,V,2,V,0.2,V,21,V
16-10-2017,24:00,4,V,27,V,3,V,0.2,V,34,V
17-10-2017,24:00,3,V,11,V,,N,0.2,V,15,V
